,Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Mega ball,Megaplier
0,Friday September 6th 1996,5,11,29,47,50,17,
1,Friday September 13th 1996,3,4,9,30,47,1,
2,Friday September 20th 1996,5,24,31,34,48,6,
3,Friday September 27th 1996,8,25,35,37,48,8,
4,Friday October 4th 1996,8,16,18,36,38,1,
5,Friday October 11th 1996,2,23,37,40,50,22,
6,Friday October 18th 1996,9,18,24,26,46,18,
7,Friday October 25th 1996,23,28,30,35,43,9,
8,Friday November 1st 1996,2,10,28,39,49,17,
9,Friday November 8th 1996,11,23,25,35,46,17,
10,Friday November 15th 1996,2,4,5,33,47,22,
11,Friday November 22nd 1996,6,8,14,32,35,19,
12,Friday November 29th 1996,1,14,27,46,50,22,
13,Friday December 6th 1996,15,20,32,42,47,3,
14,Friday December 13th 1996,7,15,36,43,44,8,
15,Friday December 20th 1996,6,18,20,25,33,16,
16,Friday December 27th 1996,10,30,33,35,36,1,
17,Friday January 3rd 1997,5,8,23,45,48,17,
18,Friday January 10th 1997,4,25,30,33,47,6,
19,Friday January 17th 1997,4,11,33,35,43,21,
20,Friday January 24th 1997,12,17,27,30,39,7,
21,Friday January 31st 1997,8,11,13,20,37,12,
22,Friday February 7th 1997,4,10,27,30,38,15,
23,Friday February 14th 1997,7,13,15,22,26,21,
24,Friday February 21st 1997,3,8,19,28,47,15,
25,Friday February 28th 1997,18,19,24,29,42,5,
26,Friday March 7th 1997,11,19,36,38,46,2,
27,Friday March 14th 1997,4,6,11,25,43,10,
28,Friday March 21st 1997,5,10,19,38,41,21,
29,Friday March 28th 1997,1,43,47,48,50,17,
30,Friday April 4th 1997,8,21,22,35,48,12,
31,Friday April 11th 1997,4,10,13,22,49,20,
32,Friday April 18th 1997,1,11,22,45,47,8,
33,Friday April 25th 1997,12,31,32,34,37,9,
34,Friday May 2nd 1997,4,13,20,24,36,14,
35,Friday May 9th 1997,12,13,16,29,36,11,
36,Friday May 16th 1997,2,4,13,17,29,11,
37,Friday May 23rd 1997,2,3,5,40,49,19,
38,Friday May 30th 1997,1,23,25,39,43,19,
39,Friday June 6th 1997,2,8,20,22,32,8,
